Question Title,Section,Instructor,Training(Chapter) ,Application,Type,Average Time on Task(HH MM SS),No. of Times Question Presented,% Correct(Guided / Unguided),Correct(Unguided),Correct(Guided),Skipped, 
"	AC Step 2.2.1: Import Excel Data","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:56","	213","	100%","	113","	100","	0","	"
"	AC Step 2.2.1: Import Excel Data","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:05:07","	12","	100%","	4","	8","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:15","	151","	100%","	122","	29","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:17","	142","	99.3%","	113","	28","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:10","	228","	99.56%","	188","	39","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:10","	154","	100%","	137","	17","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:20","	164","	100%","	136","	28","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:52","	213","	100%","	154","	59","	0","	"
"	AC Step 2.2.2: Import Access Data","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:17","	12","	100%","	11","	1","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:41","	151","	100%","	77","	74","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:26","	142","	98.59%","	60","	80","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:52","	228","	99.56%","	123","	104","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:38","	154","	99.35%","	88","	65","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:19","	164","	100%","	106","	58","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:29","	213","	100%","	105","	108","	0","	"
"	AC Step 2.2.3: Modify an Imported Table's Design","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:42","	12","	100%","	2","	10","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:02","	151","	100%","	147","	4","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:08","	142","	98.59%","	132","	8","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:16","	228","	99.56%","	202","	25","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:07","	154","	100%","	148","	6","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:04","	164","	100%","	154","	10","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:15","	213","	100%","	186","	27","	0","	"
"	AC Step 2.2.4: Add Data to an Imported Table","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:02","	12","	100%","	10","	2","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:49","	151","	100%","	65","	86","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:54","	142","	98.59%","	42","	98","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:34","	228","	99.56%","	105","	122","	1","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:59","	154","	98.7%","	73","	79","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:22","	164","	100%","	97","	67","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:57","	213","	100%","	102","	111","	0","	"
"	AC Step 2.2.5: Establish Table Relationships","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:09:02","	12","	100%","	3","	9","	0","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:15","	151","	100%","	129","	22","	0","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:50","	142","	98.59%","	110","	30","	1","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:09","	228","	99.56%","	174","	53","	1","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:51","	154","	99.35%","	127","	26","	1","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:34","	164","	100%","	132","	32","	0","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:42","	213","	100%","	149","	64","	0","	"
"	AC Step 2.2.6: Enforce and Test Referential Integrity","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:05:36","	12","	100%","	9","	3","	0","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:40","	151","	100%","	126","	25","	0","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:57","	142","	98.59%","	103","	37","	1","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:53","	228","	99.56%","	172","	55","	1","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:00","	154","	99.35%","	129","	24","	1","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:51","	164","	100%","	144","	20","	0","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:16","	213","	100%","	152","	61","	0","	"
"	AC Step 2.3.1: Use the Query Wizard","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:37","	12","	100%","	8","	4","	0","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:03","	151","	100%","	112","	39","	0","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:06","	142","	98.59%","	76","	64","	1","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:03","	228","	99.56%","	160","	67","	1","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:58","	154","	99.35%","	109","	44","	1","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:47","	164","	100%","	128","	36","	0","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:07","	213","	100%","	143","	70","	0","	"
"	AC Step 2.3.2: Specify Query Criteria, Specify Query Sort Order, and Run the Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:12","	12","	100%","	8","	4","	0","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:06:27","	151","	99.34%","	58","	92","	0","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:06:41","	142","	97.18%","	49","	89","	1","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:06:20","	228","	98.68%","	84","	141","	1","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:06:34","	154","	98.7%","	60","	92","	1","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:13","	164","	98.78%","	77","	85","	0","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:06:37","	213","	98.59%","	100","	110","	0","	"
"	AC Step 2.3.3: Copy and Modify a Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:47","	12","	100%","	4","	8","	0","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:27","	151","	100%","	101","	50","	0","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:12","	142","	97.89%","	82","	57","	2","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:08","	228","	99.56%","	136","	91","	1","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:16","	154","	98.7%","	102","	50","	1","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:57","	164","	100%","	118","	46","	0","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:34","	213","	99.06%","	120","	91","	0","	"
"	AC Step 2.4.1: Add Additional Tables and Fields to a Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:22","	12","	100%","	9","	3","	0","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:12","	151","	100%","	55","	96","	0","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:01","	142","	97.89%","	43","	96","	2","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:01","	228","	99.56%","	105","	122","	1","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:03","	154","	98.7%","	70","	82","	2","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:12","	164","	100%","	91","	73","	0","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:38","	213","	98.59%","	89","	121","	0","	"
"	AC Step 2.4.2: Create a Multitable Query from Scratch","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:05:18","	12","	100%","	2","	10","	0","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:32","	151","	100%","	72","	79","	0","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:30","	142","	96.48%","	65","	72","	2","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:47","	228","	98.25%","	105","	119","	1","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:48","	154","	98.05%","	87","	64","	2","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:47","	164","	100%","	99","	65","	0","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:08","	213","	98.59%","	97","	113","	2","	"
"	AC Step 2.4.3: Modify a Multitable Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:38","	12","	100%","	2","	10","	0","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:47","	151","	100%","	64","	87","	0","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:44","	142","	96.48%","	51","	86","	2","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:52","	228","	99.12%","	88","	138","	2","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:53","	154","	98.05%","	79","	72","	2","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:48","	164","	100%","	95","	69","	0","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:57","	213","	98.59%","	79","	131","	2","	"
"	AC Step 2.4.4: Use a Total Row to Summarize Data in a Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:41","	12","	100%","	4","	8","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:07:37","	154","	99.35%","	100","	53","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:19","	151","	100%","	90","	61","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:55","	228","	100%","	121","	107","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:48","	146","	99.32%","	82","	63","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:14","	157","	99.36%","	99","	57","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:10:50","	209","	100%","	116","	93","	0","	"
"	AC Step 3.1.1: Build Expressions","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:09:54","	12","	100%","	9","	3","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:08","	154","	100%","	80","	74","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:32","	151","	100%","	67","	84","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:21","	228","	100%","	107","	121","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:48","	146","	100%","	72","	74","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:24","	157","	100%","	99","	58","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:04:06","	209","	100%","	95","	114","	0","	"
"	AC Step 3.1.2: Format Calculated Results","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:32","	12","	100%","	6","	6","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:04:34","	154","	100%","	123","	31","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:10","	151","	100%","	118","	33","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:17","	228","	100%","	173","	55","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:06:19","	146","	99.32%","	110","	35","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:09","	157","	100%","	122","	35","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:06:50","	209","	100%","	130","	79","	0","	"
"	AC Step 3.1.3: Recover from Common Errors","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:07:12","	12","	100%","	8","	4","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:07:43","	154","	98.7%","	44","	108","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:09:14","	151","	100%","	40","	111","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:09:20","	228","	100%","	72","	156","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:50","	146","	99.32%","	44","	101","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:09:02","	157","	100%","	63","	94","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:10:35","	209","	100%","	87","	122","	0","	"
"	AC Step 3.2.1: Create Expressions Using the Expression Builder","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:11:43","	12","	100%","	5","	7","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:13:18","	154","	88.31%","	31","	105","	1","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:16:24","	151","	88.74%","	31","	103","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:15:52","	228","	93.42%","	64","	149","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:15:25","	146","	96.58%","	43","	98","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:14:41","	157","	96.18%","	55","	96","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:16:17","	209","	96.65%","	57","	145","	0","	"
"	AC Step 3.2.2: Calculate a Loan Payment with the PMT Function","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:19:16","	12","	100%","	3","	9","	0","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:01:54","	154","	98.05%","	102","	49","	3","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:03","	151","	98.68%","	77","	72","	0","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:17","	228","	99.12%","	91","	135","	1","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:43","	146","	97.95%","	73","	70","	1","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:24","	157","	100%","	88","	69","	0","	"
